Material,Índice,Construcción,Transparente,Piedras preciosas,Líquidos,Gases
Vacío,1.000277,,,,,X  
Aire (STP),1.000293,,,,,X  
Dióxido de carbono,1.00045,,,,X,X  
Helio,1.000036,,,,,X  
Hidrógeno,1.000132,,,,,X  
Arsénico trisulfuro,1.9,X,,,  ,
Benceno,1.501,,,X,  ,
Disulfuro de carbono,1.628,,,X,  ,
Tetracloruro de carbono,1.461,,,X,  ,
Etanol,1.361,,,X,  ,
Aceite de silicona,1.336–1.582,,,X,  ,
Agua,1.333,,,X,  ,
Glucosa (10%W),1.3477,,,X,  ,
Glucosa (20%W),1.3635,,,X,  ,
Glucosa (60%W),1.4394,,,X,  ,
Dióxido de titanio (rutilo),2.496,X,X,,  ,
Diamante,2.419,,X,X,  ,
Titanato de estroncio,2.41,X,X,,  ,
Ámbar,1.55,,X,X,  ,
Sílice fundida,1.458,X,X,,  ,
Cloruro de sodio,1.544,X,,,  ,
Helio líquido,1.025,,,X,  ,
Hielo,1.31,X,,,  ,
Córnea (humana),1.373/1.380/1.401,,X,,  ,
Lente (humana),1.386–1.406,,X,,  ,
Acetona,1.36,,,X,  ,
Glicerol,1.4729,,,X,  ,
Bromina,1.661,,,X,  ,
Teflón AF,1.315,X,,,  ,
Teflón,1.35–1.38,X,,,  ,
Cytop,1.34,,,X,  ,
Sylgard 184,1.4118,,,X,  ,
PLA,1.46,X,,,  ,
Acrílico,1.490–1.492,X,X,,  ,
Policarbonato,1.584–1.586,X,X,,  ,
PETg,1.57,X,,,  ,
PET,1.575,X,,,  ,
Vidrio Crown (puro),1.50–1.54,X,X,,  ,
Vidrio Flint (puro),1.60–1.62,X,X,,  ,
Vidrio Crown (impuro),1.485–1.755,X,X,,  ,
Vidrio Flint (impuro),1.523–1.925,X,X,,  ,
Pyrex,1.47,X,X,,  ,
Criolita,1.338,X,,,  ,
Sal gema,1.516,X,,,  ,
Zafiro,1.762–1.778,,X,X,  ,
Azúcar (25%W),1.3723,,,X,  ,
Azúcar (50%W),1.42,,,X,  ,
Azúcar (75%W),1.4774,,,X,  ,
Circonia cúbica,2.15–2.18,,X,X,  ,
Niobato de potasio,2.28,X,X,,  ,
Carburo de silicio,2.65–2.69,X,X,,  ,
Cinabrio,3.02,X,X,,  ,
Fosfuro de galio,3.5,X,X,,  ,
Arseniuro de galio,3.927,X,X,,  ,
Óxido de zinc,2.4,X,,,  ,
Germanio,4.01,X,X,,  ,
Silicio,3.96,X,X,,  ,
Óxido de aluminio,1.76,X,,,  ,
Alúmina (mullita),1.64,X,,,  ,
Sulfuro de arsénico,2.66,X,,,  ,
BaF2,1.48,X,X,,  ,
BaTiO3,2.4,X,,,  ,
C (diamante),2.417,,X,X,  ,
CaCO3,1.65,X,,,  ,
CaF2,1.43,X,,,  ,
CaO,1.84,X,,,  ,
CdTe,2.74,X,,,  ,
CuO,2.84,X,,,  ,
Vidrio Flint,1.65,X,X,,  ,
Vidrio Soda-Lima,1.51–1.52,X,X,,  ,
Vidrio Ortoclasa,1.51,X,X,,  ,
Vidrio Sílice,1.458,X,X,,  ,
Vidrio Albita,1.49,X,X,,  ,
Vidrio Borosilicato,1.47,X,X,,  ,
H2O (líquido),1.33,,,X,  ,
H2O (sólido),1.3,X,,,  ,
Ortoclasa,1.525,X,,,  ,
KBr,1.56,X,,,  ,
KCl,1.49,X,,,  ,
KI,1.673,X,,,  ,
LiF,1.392,X,,,  ,
Espinela,1.72,X,X,X,  ,
MgF2,1.38,X,X,,  ,
MgO,1.74,X,,,  ,
MnO,1.22,X,,,  ,
Albita,1.529,X,,,  ,
NaCl,1.54,X,,,  ,
NaF,1.326,X,,,  ,
PbO,2.67,X,,,  ,
PbS,3.91,X,,,  ,
Si,3.29,X,X,,  ,
SiC,2.68,X,X,,  ,
Cuarzo,1.55,X,X,,  ,
SrO,1.87,X,,,  ,
SrTiO3,2.49,X,,,  ,
TiO2 (rutilo),2.68,X,X,,  ,
TiO2 (anatasa),2.55,X,X,,  ,
Y2O3,1.92,X,,,  ,
Circonio,1.95,X,,,  ,
ZnO,2,X,,,  ,
ZnSe,2.62,X,X,,  ,
ZrO2,2.1–2.2,X,X,,  ,
Celulósicos,1.46–1.50,X,,,  ,
Epoxis,1.55–1.60,X,,,  ,
Fenol-formaldehído,1.47–1.50,X,,,  ,
Poliamidas (Nylon 66),1.53,X,,,  ,
Poliarilsulfona,1.651,X,,,  ,
Polibutadieno/poliestireno,1.53,X,,,  ,
Policarbonato,1.586,X,X,,  ,
Policloropreno,1.55–1.56,X,,,  ,
Poliéster,1.52–1.57,X,,,  ,
Polietileno LD,1.51,X,,,  ,
Polietileno PET,1.64,X,,,  ,
Polietileno HD,1.545,X,,,  ,
Poliisopreno,1.52,X,,,  ,
PMMA,1.49,X,X,,  ,
Polipropileno,1.47,X,,,  ,
Poliestireno,1.59,X,,,  ,
PTFE,1.35–1.38,X,,,  ,
PVC,1.54–1.55,X,,,  ,
PVDF,1.42,X,,,  ,
Uretanos,1.5–1.6,X,,,  ,
